"instance","date","disease_state","value","age","race","hcez"
1,2024-12-12,"Exposed",207.168160047943,"0-17","Hispanic","North/Central"
1,2024-09-04,"New Exposed (S)",2.70733193620905,"0-17","Hispanic","North/Central"
1,2024-09-05,"New Exposed (S)",1.9555941196507,"0-17","Hispanic","North/Central"
1,2024-09-06,"New Exposed (S)",1.74313432149061,"0-17","Hispanic","North/Central"
1,2024-09-07,"New Exposed (S)",2.00183906943399,"0-17","Hispanic","North/Central"
1,2024-09-08,"New Exposed (S)",2.50806758461633,"0-17","Hispanic","North/Central"
1,2024-09-09,"New Exposed (S)",3.22349722566019,"0-17","Hispanic","North/Central"
1,2024-09-10,"New Exposed (S)",4.18319371178091,"0-17","Hispanic","North/Central"
1,2024-09-11,"New Exposed (S)",5.45150259465692,"0-17","Hispanic","North/Central"
1,2024-09-12,"New Exposed (S)",7.11751313536905,"0-17","Hispanic","North/Central"
1,2024-09-13,"New Exposed (S)",9.22523505765587,"0-17","Hispanic","North/Central"
1,2024-09-14,"New Exposed (S)",11.9676751118135,"0-17","Hispanic","North/Central"
1,2024-09-15,"New Exposed (S)",15.6176507225909,"0-17","Hispanic","North/Central"
1,2024-09-16,"New Exposed (S)",20.3450032501428,"0-17","Hispanic","North/Central"
1,2024-09-17,"New Exposed (S)",26.4474547942905,"0-17","Hispanic","North/Central"
1,2024-09-18,"New Exposed (S)",34.1956395381094,"0-17","Hispanic","North/Central"
1,2024-09-19,"New Exposed (S)",43.9521347476423,"0-17","Hispanic","North/Central"
1,2024-09-20,"New Exposed (S)",55.8309688082111,"0-17","Hispanic","North/Central"
1,2024-09-21,"New Exposed (S)",70.1584369808269,"0-17","Hispanic","North/Central"
1,2024-09-22,"New Exposed (S)",87.7256297031044,"0-17","Hispanic","North/Central"
1,2024-09-23,"New Exposed (S)",108.665553741861,"0-17","Hispanic","North/Central"
1,2024-09-24,"New Exposed (S)",132.992099730554,"0-17","Hispanic","North/Central"
1,2024-09-25,"New Exposed (S)",161.368818664171,"0-17","Hispanic","North/Central"
1,2024-09-26,"New Exposed (S)",190.573575746957,"0-17","Hispanic","North/Central"
1,2024-09-27,"New Exposed (S)",216.000414576439,"0-17","Hispanic","North/Central"
1,2024-09-28,"New Exposed (S)",241.884954363068,"0-17","Hispanic","North/Central"
1,2024-09-29,"New Exposed (S)",269.286962265914,"0-17","Hispanic","North/Central"
1,2024-09-30,"New Exposed (S)",290.368118110303,"0-17","Hispanic","North/Central"
1,2024-10-01,"New Exposed (S)",308.084923649711,"0-17","Hispanic","North/Central"
1,2024-10-02,"New Exposed (S)",325.131687424496,"0-17","Hispanic","North/Central"
1,2024-10-03,"New Exposed (S)",331.084429561484,"0-17","Hispanic","North/Central"
1,2024-10-04,"New Exposed (S)",333.780886166005,"0-17","Hispanic","North/Central"
1,2024-10-05,"New Exposed (S)",333.179099203368,"0-17","Hispanic","North/Central"
1,2024-10-06,"New Exposed (S)",330.096019432164,"0-17","Hispanic","North/Central"
1,2024-10-07,"New Exposed (S)",323.11195178103,"0-17","Hispanic","North/Central"
1,2024-10-08,"New Exposed (S)",315.31093414948,"0-17","Hispanic","North/Central"
1,2024-10-09,"New Exposed (S)",305.077333975189,"0-17","Hispanic","North/Central"
1,2024-10-10,"New Exposed (S)",294.422559634359,"0-17","Hispanic","North/Central"
1,2024-10-11,"New Exposed (S)",279.356602125735,"0-17","Hispanic","North/Central"
1,2024-10-12,"New Exposed (S)",265.096187043865,"0-17","Hispanic","North/Central"
1,2024-10-13,"New Exposed (S)",255.190682585027,"0-17","Hispanic","North/Central"
1,2024-10-14,"New Exposed (S)",244.933284935292,"0-17","Hispanic","North/Central"
1,2024-10-15,"New Exposed (S)",235.12248483132,"0-17","Hispanic","North/Central"
1,2024-10-16,"New Exposed (S)",226.193446765169,"0-17","Hispanic","North/Central"
1,2024-10-17,"New Exposed (S)",215.171740066811,"0-17","Hispanic","North/Central"
1,2024-10-18,"New Exposed (S)",203.737892645708,"0-17","Hispanic","North/Central"
1,2024-10-19,"New Exposed (S)",191.303632096206,"0-17","Hispanic","North/Central"
1,2024-10-20,"New Exposed (S)",183.881237374118,"0-17","Hispanic","North/Central"
1,2024-10-21,"New Exposed (S)",177.82154658371,"0-17","Hispanic","North/Central"
1,2024-10-22,"New Exposed (S)",171.004635538868,"0-17","Hispanic","North/Central"
1,2024-10-23,"New Exposed (S)",165.939768040518,"0-17","Hispanic","North/Central"
1,2024-10-24,"New Exposed (S)",160.184102016805,"0-17","Hispanic","North/Central"
1,2024-10-25,"New Exposed (S)",151.480124222064,"0-17","Hispanic","North/Central"
1,2024-10-26,"New Exposed (S)",143.477824550294,"0-17","Hispanic","North/Central"
1,2024-10-27,"New Exposed (S)",141.10207967709,"0-17","Hispanic","North/Central"
1,2024-10-28,"New Exposed (S)",136.701930265126,"0-17","Hispanic","North/Central"
1,2024-10-29,"New Exposed (S)",132.13290082762,"0-17","Hispanic","North/Central"
1,2024-10-30,"New Exposed (S)",128.44488013809,"0-17","Hispanic","North/Central"
1,2024-10-31,"New Exposed (S)",125.518429455283,"0-17","Hispanic","North/Central"
1,2024-11-01,"New Exposed (S)",119.653855580751,"0-17","Hispanic","North/Central"
1,2024-11-02,"New Exposed (S)",114.405355694833,"0-17","Hispanic","North/Central"
1,2024-11-03,"New Exposed (S)",113.984426368583,"0-17","Hispanic","North/Central"
1,2024-11-04,"New Exposed (S)",111.867870657995,"0-17","Hispanic","North/Central"
1,2024-11-05,"New Exposed (S)",109.468755579243,"0-17","Hispanic","North/Central"
1,2024-11-06,"New Exposed (S)",107.512942398567,"0-17","Hispanic","North/Central"
1,2024-11-07,"New Exposed (S)",106.394365610584,"0-17","Hispanic","North/Central"
1,2024-11-08,"New Exposed (S)",101.68918129652,"0-17","Hispanic","North/Central"
1,2024-11-09,"New Exposed (S)",98.8688139684123,"0-17","Hispanic","North/Central"
1,2024-11-10,"New Exposed (S)",98.5943184301328,"0-17","Hispanic","North/Central"
1,2024-11-11,"New Exposed (S)",97.578866474081,"0-17","Hispanic","North/Central"
1,2024-11-12,"New Exposed (S)",96.4429138580062,"0-17","Hispanic","North/Central"
1,2024-11-13,"New Exposed (S)",95.4811354674712,"0-17","Hispanic","North/Central"
1,2024-11-14,"New Exposed (S)",94.6646761782614,"0-17","Hispanic","North/Central"
1,2024-11-15,"New Exposed (S)",91.8469220548087,"0-17","Hispanic","North/Central"
1,2024-11-16,"New Exposed (S)",89.6942885000973,"0-17","Hispanic","North/Central"
1,2024-11-17,"New Exposed (S)",90.4712976585056,"0-17","Hispanic","North/Central"
1,2024-11-18,"New Exposed (S)",90.0474340393949,"0-17","Hispanic","North/Central"
1,2024-11-19,"New Exposed (S)",89.1160916872352,"0-17","Hispanic","North/Central"
1,2024-11-20,"New Exposed (S)",88.8821189318533,"0-17","Hispanic","North/Central"
1,2024-11-21,"New Exposed (S)",89.1352425761722,"0-17","Hispanic","North/Central"
